Weekday,Start Time,End Time,Role,Event Name,Event Abbreviation,Event Type,Event Description
Sunday,6:00 PM,6:45 PM,AC 1,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,6:00 PM,6:45 PM,AC 2,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,6:00 PM,6:45 PM,AC 3,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,6:00 PM,6:45 PM,AC 4,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,6:00 PM,6:45 PM,AC 5,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,6:00 PM,6:45 PM,AC 6,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,6:00 PM,6:45 PM,AC 7,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,6:00 PM,6:45 PM,AC 8,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,6:00 PM,6:45 PM,AC 9,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,6:00 PM,6:45 PM,AC 10,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,6:00 PM,7:00 PM,CN A,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:00 PM,7:00 PM,CN B,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:00 PM,7:00 PM,CN C,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:00 PM,7:00 PM,CN D,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:00 PM,7:00 PM,CN E,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:00 PM,7:00 PM,CN F,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:00 PM,7:00 PM,CN G,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:00 PM,7:00 PM,CN H,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:00 PM,7:00 PM,CN I,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:00 PM,7:00 PM,CN J,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:45 PM,7:00 PM,AC 1,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:45 PM,7:00 PM,AC 2,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:45 PM,7:00 PM,AC 3,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:45 PM,7:00 PM,AC 4,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:45 PM,7:00 PM,AC 5,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:45 PM,7:00 PM,AC 6,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:45 PM,7:00 PM,AC 7,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:45 PM,7:00 PM,AC 8,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:45 PM,7:00 PM,AC 9,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,6:45 PM,7:00 PM,AC 10,No Duty,ND,free,Time without duty but still actively participating in the session.
Sunday,7:00 PM,7:50 PM,CN A,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,7:00 PM,7:50 PM,CN B,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,7:00 PM,7:50 PM,CN C,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
Sunday,7:00 PM,7:50 PM,CN D,Meeting,ME,meeting,"A scheduled meeting for coordination, planning, or discussion."
